Model,Encoded Dim,Speed (kmph),NMSE
stem,128,3,-1.6972162262140689
stem,128,30,-0.053497106389633384
stem,128,120,-1.37246152831948
stem,256,3,-2.00449899755113
stem,256,30,-1.0250354960798627
stem,256,120,-0.10014792383806684
stem,512,3,-2.8963970440806848
stem,512,30,-1.2803751526905631
stem,512,120,-0.26474101060313915
transformer,128,3,-0.4900977395260435
transformer,128,30,-0.12014330596125826
transformer,128,120,-0.2791417169778878
transformer,256,3,-0.32530828220072483
transformer,256,30,-0.4449035716904097
transformer,256,120,-0.1439920974761064
transformer,512,3,-0.6905841507126286
transformer,512,30,-0.6344335957390738
transformer,512,120,-0.5066940325506708
lstm,128,3,-0.2619518270688892
lstm,128,30,-0.05893350026436045
lstm,128,120,-0.0948229899788788
lstm,256,3,-0.36550913217099934
lstm,256,30,-0.3705241424911658
lstm,256,120,-0.15006133613702874
lstm,512,3,-0.5798520496887163
lstm,512,30,-0.5358849338156428
lstm,512,120,-0.2516834385996032
