Model,Encoded Dim,Speed (kmph),MAPE,MAE,RMSE
stem,128,3,0.19045350006191206,2.400524570804926,3.636518895449059
stem,128,30,0.8733430526089079,9.370191460785788,15.57573566611071
stem,128,120,0.19695501263526533,2.883722696302212,4.17161092253393
stem,256,3,0.21915611655927203,2.113615483031016,3.083205617630442
stem,256,30,0.8563294932305195,5.8078000358134965,9.617670516610296
stem,256,120,1.209558458010591,13.768580900861721,22.060170838725398
stem,512,3,0.21699444831930262,1.8074839942476286,2.6980943715887347
stem,512,30,0.9873239013499668,10.944609328308456,16.81944175356501
stem,512,120,1.2074682625653714,12.164308817665248,20.350994332220626
transformer,128,3,0.7997258769066625,13.69978734983093,18.263421096029997
transformer,128,30,0.8319031338638857,6.982308066672843,10.073269077179317
transformer,128,120,0.7896981334506681,15.768795898960498,20.561664976403996
transformer,256,3,1.1422204573875894,19.12489447824182,26.892874256710634
transformer,256,30,0.9146922869475512,6.222268049031629,9.554808306784619
transformer,256,120,1.1756461062541497,12.39369657339508,19.54722243970807
transformer,512,3,1.1121505224514245,15.501974694939411,21.082009553867948
transformer,512,30,0.9353437901465239,9.55590979598568,13.99725046421391
transformer,512,120,1.1556426813951506,10.362404340925668,17.468198471960346
lstm,128,3,0.9367402603815376,18.549484998486776,24.68205361687271
lstm,128,30,0.9430855881780424,8.496259943706978,11.968368538823325
lstm,128,120,0.9548724489201262,22.266455233104345,30.780066517524737
lstm,256,3,1.0592222380084537,17.89211654749012,23.80002980122345
lstm,256,30,1.0202432585640988,7.076803094676615,10.102786133616645
lstm,256,120,1.1916475686630696,12.089856471996717,18.705355876079526
lstm,512,3,1.0704269099500083,17.596806839625682,23.92168072431346
lstm,512,30,1.0634328967468494,11.276265910321975,15.636546589027837
lstm,512,120,1.2334897712372472,11.753502582405035,19.22122267753715
